и,and
мечта,"dream, daydream"
ночной,night (adj)
обратно,back (adv)
опасность (f),danger
отказываться/отказаться (+inf),to refuse (to do sth); (от +g) renounce (sth)
полк,regiment
полностью,"fully, completely"
попытка,attempt
прошлое,the past
рис,rice
спокойный,calm
уголь (m),coal
учреждение,"establishment, institution"
щека,cheek
возраст,age
громко,loudly
дым,smoke
желание,"wish, desire"
забота,"care, trouble"
использование,utilization
красота,beauty
мощный,powerful
постепенно,gradually
президент,president
рыба,fish
следить (i) (за +inst),"to watch, keep an eye on"
хватать/схватить (+a),"to seize, grab"
темнота,darkness
трава,grass; herb
тяжело,"heavily; gravely; it is hard, painful"
улучшение,improvement
улыбка,smile
учение,"learning, study, instruction"
глупый,"stupid, silly"
зато,"in compensation, on the other hand"
лоб,forehead
немало,"not a little, a good many"
поколение,generation
учитель (m),teacher
видимо,evidently
воевать (i),to wage war
выступление,speech; (public) appearance
юноша,(a) youth
значительно,"significantly, considerably"
из-под (+g),from under
ложиться/лечь,to lie down
пробовать/по-,(+inf) to try; (+a) test; taste
промышленный,industrial
слабый,weak
стул,chair
фотография,photograph
цепь (f),chain
восстание,uprising
задание,"task, assignment"
наверно,"probably, most likely"
обращаться/обратиться (к +d),"to turn to; (в +a) turn into; (c +inst) handle sth, treat s.o."
октябрь (m),October
отличаться/отличиться,to distinguish os; (от +g i only) differ
повторять/повторить (+a),to repeat
содержание,content (noun)
устраивать/устроить (+a),"to arrange, organize (sth)"
важно,it is important
вера,"faith, belief"
демократический,democratic
долг,debt; (sg only) duty
зима,winter
крепко,firmly
молча,"in silence, without speaking"
переход,"crossing, transition"
знакомиться/по- (с +inst),to become acquainted with; meet
портрет,portrait
чудо,"marvel, miracle"
бок,side
вводить/ввести (+a),"to bring in, introduce"
держаться (i) (за +a),to hold on (to); (+g) keep to
жалеть/по- (+a),"to pity, feel sorry for; (o +pr) regret"
итак,"so, so then"
надеяться (i),to hope
настроение,mood
облако,cloud
одновременно,simultaneously
отходить/отойти (от +g),to move away (from); depart (train)
понятие,"concept, notion"
поток,"stream, flow"
рождаться/родиться,to be born
стоимость (f),"cost, value"
стремление,"striving, aspiration, desire"
территория,territory
висеть (i),"to hang, be hanging"
вниз,down
горный,mountain (adj); mining
городской,"urban, town (adj)"
диван,"divan, couch"
заговаривать/заговорить,to start speaking
кстати,"incidentally, by the way; opportunely"
образец,"model, pattern"
принадлежать (i) (+d),to belong to; (к +d) be a member of
суд,court (of law); trial
автомобиль (m),car
адрес,address
вверх,upwards
духовный,spiritual
иностранный,foreign
литературный,literary
напоминать/напомнить (+d о +pr),to remind (s.o. of sth.)
осторожно,"carefully, cautiously"
побеждать/победить (+a),"to defeat, conquer"
полезный,useful
расчёт,calculation
уверенный,"confident, sure"
болезнь (f),illness
впереди,ahead
вскоре,soon
железо,iron
навстречу (+d),towards
обладать (i) (+inst),to possess
опасный,dangerous
полтора,one and a half
считаться (i),(+inst) to be considered; (c +inst) take into account
трудовой,"labour, work (adj)"
участвовать (i) (в +pr),to take part in
шея,neck
южный,southern
бросаться/броситься,"to rush, throw oneself"
всеобщий,general; universal
договор,agreement; treaty; contract
короткий,short
культурный,"cultured, civilized; cultural"
мягкий,soft; gentle
ой,o; oh (expressing surprise or fright)
развиваться/развиться,to develop
тянуть/по- (+a),"to pull, drag"
вечный,eternal
январь (m),January
обнаруживать/обнаружить (+a),to reveal; discover
особенный,"special, particular"
подготовка (к +d),preparation (for)
придумывать/придумать (+a),"to think up, invent"
редакция,editorial office; editing
собственность (f),property (something owned)
строго,strictly
убеждаться/убедиться (в +pr),"to convince oneself, become sure (of sth)"
угроза,threat
уничтожать/уничтожить (+a),to destroy; do away with
груз,load; cargo
здоровый,healthy
кольцо,ring (i.e. small hoop)
